⺀	〔※󰁦※󰄼※󰄼※※☯※uyy※〕
𧎖	〔※󰃍※󰃔※󰃂※󰁶※☯※jliy※〕
𧎗	〔※󰄌※󰁦※󰂱※󰃍※☯※tufj※〕
𧎘	〔※󰃍※󰄎※󰃁※󰄆※☯※jtis※〕
𧎙	〔※󰃍※󰄄※󰁼※󰂕※☯※jrdb※〕
𧎚	〔※󰃍※󰄋※󰂺※󰂘※☯※jthc※〕
𧎛	〔※󰃍※󰃰※󰄦※󰂣※☯※jpwd※〕
𧎜	〔※󰃍※󰃡※󰂶※󰂮※☯※jngf※〕
𧎝	〔※󰃍※󰂜※󰄤※󰂝※☯※jdwd※〕
𧎞	〔※󰃍※󰂡※󰁼※󰄼※☯※jddy※〕
𧎟	〔※󰃍※󰁮※󰂏※󰀢※☯※jvbh※〕
𧎠	〔※󰃍※󰄋※󰄩※󰄻※☯※jtxn※〕
𧎡	〔※󰃍※󰃰※󰃏※󰃏※☯※jpkk※〕
𧎢	〔※󰃍※󰀁※󰄼※󰃛※☯※jaym※〕
𧎣	〔※󰃍※󰄖※󰂐※󰀝※☯※jabg※〕
𧎤	〔※󰃍※󰂎※󰄋※󰃅※☯※jbti※〕
𧎦	〔※󰃍※󰁺※󰄦※󰃤※☯※jawn※〕
𧎧	〔※󰃍※󰃰※󰄥※󰃽※☯※jpwr※〕
𧎨	〔※󰃍※󰃡※󰄔※󰀢※☯※jnuh※〕
𧎩	〔※󰃍※󰃹※󰂅※󰄅※☯※jqgs※〕
𧎪	〔※󰁚※󰀁※󰃍※󰃍※☯※qajj※〕
𧎫	〔※󰃍※󰃆※󰃛※󰁶※☯※jimy※〕
𧎬	〔※󰂛※󰂮※󰂳※󰃍※☯※cffj※〕
𧎭	〔※󰄋※󰀽※󰂜※󰃍※☯※tmdj※〕
𧎮	〔※󰂘※󰄼※󰃍※󰃍※☯※cyjj※〕
𧎯	〔※󰃍※󰁿※󰂱※󰄤※☯※jtfw※〕
𧎰	〔※󰃡※󰁺※󰀖※󰃍※☯※naej※〕
𧎱	〔※󰂚※󰃍※󰃍※󰁧※☯※cjju※〕
𧎲	〔※󰃍※󰃬※󰄕※󰂱※☯※jouf※〕
𧎳	〔※󰃍※󰂱※󰃱※󰃅※☯※jfpi※〕
𧎴	〔※󰃍※󰃿※󰄀※󰃏※☯※jrrk※〕
𧎵	〔※󰃍※󰄂※󰃪※󰁶※☯※jroy※〕
𧎶	〔※󰄩※󰄩※󰂇※󰃍※☯※xxaj※〕
𧎷	〔※󰃍※󰃷※󰂔※󰄋※☯※jqbt※〕
𧎸	〔※󰃍※󰁸※󰃜※󰃏※☯※jymk※〕
𧎹	〔※󰂯※󰂭※󰃅※󰃍※☯※ffij※〕
𧎺	〔※󰃍※󰄆※󰃏※󰃏※☯※jskk※〕
𧎻	〔※󰁻※󰃦※󰂻※󰃍※☯※cnhj※〕
𧎽	〔※󰃍※󰂶※󰂙※󰃊※☯※jgcj※〕
𧎾	〔※󰃍※󰃅※󰃊※󰃅※☯※jiji※〕
𧎿	〔※󰄛※󰁿※󰂝※󰃍※☯※utdj※〕
𧏀	〔※󰃍※󰄋※󰃒※󰃢※☯※jtln※〕
𧏁	〔※󰃼※󰂶※󰂺※󰂮※☯※rghf※〕
𧏂	〔※󰃍※󰂮※󰂮※󰂝※☯※jffd※〕
𧏃	〔※󰃍※󰁶※󰂋※󰂝※☯※jyad※〕
𧏄	〔※󰂎※󰃿※󰄀※󰃍※☯※brrj※〕
𧏅	〔※󰄶※󰁖※󰄏※󰃍※☯※yotj※〕
𧏆	〔※󰂋※󰂺※󰁃※󰃍※☯※ahnj※〕
𧏇	〔※󰂩※󰃉※󰃍※󰁧※☯※ejju※〕
𧏈	〔※󰃍※󰃒※󰂢※󰂼※☯※jldh※〕
𧏉	〔※󰃍※󰄒※󰂹※󰂹※☯※jugg※〕
𧏊	〔※󰄖※󰃍※󰃍※󰁧※☯※ajju※〕
𧏋	〔※󰂶※󰃏※󰂺※󰃍※☯※gkhj※〕
𧏌	〔※󰂯※󰃡※󰄨※󰃍※☯※fnwj※〕
𧏍	〔※󰄋※󰃧※󰂶※󰃍※☯※tngj※〕
𧏎	〔※󰃍※󰄷※󰃍※󰁶※☯※jyjy※〕
𧏏	〔※󰃍※󰃰※󰃺※󰂶※☯※jpqg※〕
𧏐	〔※󰂡※󰃽※󰃅※󰃍※☯※drij※〕
𧏑	〔※󰃍※󰄓※󰄓※󰀝※☯※juug※〕
𧏒	〔※󰃋※󰁺※󰄦※󰃍※☯※jawj※〕
𧏓	〔※󰃍※󰄐※󰄤※󰃐※☯※jtwl※〕
𧏔	〔※󰂋※󰄼※󰂁※󰂮※☯※aynf※〕
𧏕	〔※󰃍※󰃼※󰃀※󰄤※☯※jrhw※〕
𧏖	〔※󰃍※󰃰※󰄁※󰄦※☯※jprw※〕
𧏗	〔※󰃍※󰄑※󰃸※󰃚※☯※juqm※〕
𧏘	〔※󰃍※󰄋※󰁪※󰂘※☯※jtuc※〕
𧏙	〔※󰃍※󰄝※󰄻※󰂙※☯※junc※〕
𧏚	〔※󰂯※󰃱※󰂶※󰂘※☯※fpgc※〕
𧏛	〔※󰄳※󰂳※󰃍※󰁧※☯※yfju※〕
𧏜	〔※󰃍※󰂮※󰃏※󰂝※☯※jfkd※〕
𧏝	〔※󰂙※󰂙※󰂙※󰃍※☯※cccj※〕
𧏞	〔※󰃍※󰄒※󰂷※󰂆※☯※juga※〕
𧏟	〔※󰃪※󰄦※󰄠※󰃍※☯※owvj※〕
𧏠	〔※󰃍※󰂘※󰂘※󰄅※☯※jccs※〕
𧏡	〔※󰃍※󰂢※󰂼※󰄐※☯※jdht※〕
𧏢	〔※󰃍※󰃘※󰄐※󰂺※☯※jmth※〕
𧏣	〔※󰃍※󰄍※󰄋※󰂝※☯※jttd※〕
𧏤	〔※󰄖※󰂆※󰄨※󰃍※☯※aawj※〕
𧏥	〔※󰃍※󰄖※󰄤※󰃤※☯※jawn※〕
𧏦	〔※󰃍※󰂢※󰀿※󰃩※☯※jdmo※〕
𧏧	〔※󰃍※󰃐※󰄦※󰄐※☯※jlwt※〕
𧏨	〔※󰄂※󰃪※󰃍※󰁧※☯※roju※〕
𧏩	〔※󰃍※󰄋※󰃒※󰂙※☯※jtlc※〕
𧏪	〔※󰃍※󰄒※󰂹※󰄅※☯※jugs※〕
𧏫	〔※󰃍※󰄄※󰄅※󰂘※☯※jrsc※〕
𧏬	〔※󰃍※󰂔※󰂺※󰃍※☯※jbhj※〕
𧏭	〔※󰃍※󰅆※󰁬※󰃘※☯※jevm※〕
𧏮	〔※󰃍※󰄒※󰂷※󰃢※☯※jugn※〕
𧏯	〔※󰃍※󰂡※󰂭※󰂳※☯※jdff※〕
𧏰	〔※󰃍※󰂐※󰃱※󰁜※☯※jbpq※〕
𧏱	〔※󰃍※󰀿※󰂝※󰃕※☯※jmdl※〕
𧏲	〔※󰃍※󰂶※󰃹※󰃨※☯※jgqo※〕
𧏳	〔※󰃍※󰃿※󰄊※󰁶※☯※jrsy※〕
𧏴	〔※󰃍※󰄋※󰃧※󰃮※☯※jtnp※〕
𧏵	〔※󰃍※󰄓※󰃋※󰄻※☯※jujn※〕
𧏶	〔※󰃍※󰂏※󰃗※󰀢※☯※jblh※〕
𧏷	〔※󰃍※󰄶※󰄩※󰃐※☯※jyxl※〕
𧏸	〔※󰃍※󰄶※󰄒※󰂟※☯※jyud※〕
𧏹	〔※󰃍※󰄓※󰀓※󰁶※☯※juey※〕
𧏺	〔※󰃍※󰂋※󰃏※󰃏※☯※jakk※〕
𧏻	〔※󰃍※󰃊※󰂱※󰀟※☯※jjfg※〕
𧏼	〔※󰄼※󰂷※󰃍※󰃍※☯※ygjj※〕
𧏽	〔※󰃍※󰂋※󰁿※󰃢※☯※jatn※〕
𧏾	〔※󰂋※󰄖※󰁼※󰃍※☯※aadj※〕
𧏿	〔※󰃍※󰂶※󰀓※󰃮※☯※jgep※〕
𧐀	〔※󰃍※󰁿※󰃊※󰁤※☯※jtjr※〕
𧐁	〔※󰃍※󰄅※󰃏※󰄤※☯※jskw※〕
𧐂	〔※󰁱※󰅞※󰄤※󰃍※☯※wvwj※〕
𧐃	〔※󰃍※󰄥※󰁷※󰂝※☯※jwyd※〕
𧐄	〔※󰃍※󰄦※󰄦※󰄤※☯※jwww※〕
𧐅	〔※󰃍※󰃀※󰀐※󰂶※☯※jheg※〕
𧐆	〔※󰁮※󰀄※󰁜※󰃍※☯※vaqj※〕
𧐇	〔※󰃍※󰃡※󰂭※󰂳※☯※jnff※〕
𧐈	〔※󰄸※󰁿※󰁿※󰃍※☯※yttj※〕
𧐉	〔※󰁿※󰂝※󰃏※󰃍※☯※tdkj※〕
𧐊	〔※󰃍※󰄬※󰀍※󰀖※☯※jxde※〕
𧐋	〔※󰃍※󰃐※󰄐※󰃏※☯※jltk※〕
𧐌	〔※󰃏※󰄥※󰁷※󰃍※☯※kwyj※〕
𧐍	〔※󰃍※󰂜※󰄤※󰂪※☯※jdwe※〕
𧐎	〔※󰃍※󰂦※󰂼※󰃺※☯※jehq※〕
𧐏	〔※󰁚※󰀁※󰄼※󰃍※☯※qayj※〕
𧐐	〔※󰃍※󰁽※󰃛※󰁶※☯※jgmy※〕
𧐑	〔※󰃍※󰃅※󰄋※󰃅※☯※jiti※〕
𧐒	〔※󰃍※󰄅※󰃏※󰃮※☯※jskp※〕
𧐓	〔※󰃊※󰂮※󰁻※󰃍※☯※jfcj※〕
𧐔	〔※󰃍※󰃥※󰃽※󰀝※☯※jnrg※〕
𧐕	〔※󰃍※󰂶※󰃊※󰂳※☯※jgjf※〕
𧐖	〔※󰃍※󰃗※󰃮※󰁶※☯※jlpy※〕
𧐗	〔※󰃍※󰄸※󰁿※󰁾※☯※jyth※〕
𧐘	〔※󰁻※󰃜※󰂺※󰃍※☯※cmhj※〕
𧐙	〔※󰃍※󰁻※󰃦※󰂫※☯※jcne※〕
𧐚	〔※󰃍※󰃫※󰂊※󰃩※☯※joao※〕
𧐛	〔※󰃍※󰁸※󰃏※󰄐※☯※jykt※〕
𧐜	〔※󰂯※󰃱※󰄨※󰃍※☯※fpwj※〕
𧐝	〔※󰃍※󰂶※󰃏※󰂱※☯※jgkf※〕
𧐞	〔※󰃍※󰄖※󰄔※󰀢※☯※jauh※〕
𧐟	〔※󰃍※󰁿※󰄭※󰃢※☯※jtxn※〕
𧐠	〔※󰁙※󰁴※󰄮※󰃍※☯※oxxj※〕
𧐡	〔※󰂯※󰁅※󰄨※󰃍※☯※fnwj※〕
𧐢	〔※󰃍※󰁸※󰃱※󰂬※☯※jype※〕
𧐣	〔※󰃍※󰃐※󰄐※󰃏※☯※jltk※〕
𧐤	〔※󰃍※󰄶※󰄩※󰀟※☯※jyxg※〕
𧐥	〔※󰃍※󰃿※󰂶※󰁾※☯※jrgh※〕
𧐦	〔※󰃍※󰂱※󰂇※󰃬※☯※jfao※〕
𧐧	〔※󰂜※󰄦※󰃍※󰃍※☯※dwjj※〕
𧐨	〔※󰂮※󰄦※󰂮※󰃍※☯※fwfj※〕
𧐩	〔※󰃍※󰃘※󰄤※󰄖※☯※jmwa※〕
𧐪	〔※󰃍※󰃀※󰂶※󰁾※☯※jhgh※〕
𧐫	〔※󰃍※󰃹※󰂑※󰃍※☯※jqbj※〕
𧐬	〔※󰃍※󰃅※󰃜※󰂙※☯※jimc※〕
𧐭	〔※󰃍※󰂮※󰁖※󰄏※☯※jfot※〕
𧐮	〔※󰃗※󰄀※󰃍※󰁧※☯※lrju※〕
𧐯	〔※󰃐※󰄐※󰃏※󰃍※☯※ltkj※〕
𧐰	〔※󰀿※󰂘※󰃔※󰃍※☯※mclj※〕
𧐱	〔※󰄎※󰄤※󰄤※󰃍※☯※twwj※〕
𧐲	〔※󰃍※󰄐※󰃔※󰂺※☯※jtlh※〕
𧐳	〔※󰃍※󰁙※󰂙※󰂙※☯※jocc※〕
𧐴	〔※󰃍※󰃰※󰄥※󰃊※☯※jpwj※〕
𧐵	〔※󰂶※󰃏※󰄕※󰃍※☯※gkuj※〕
𧐶	〔※󰂤※󰂽※󰃅※󰃍※☯※dhij※〕
𧐷	〔※󰃍※󰃫※󰂝※󰂮※☯※jodf※〕
𧐸	〔※󰃍※󰀼※󰂮※󰂥※☯※jmfe※〕
𧐹	〔※󰃍※󰄌※󰃹※󰃹※☯※jtqq※〕
𧐺	〔※󰃍※󰁻※󰀒※󰃮※☯※jcep※〕
𧐻	〔※󰃍※󰂮※󰄥※󰁷※☯※jfwy※〕
𧐼	〔※󰃍※󰃿※󰀥※󰃌※☯※jrhj※〕
𧐽	〔※󰃍※󰃁※󰃩※󰃩※☯※jioo※〕
𧐾	〔※󰃍※󰄓※󰃏※󰂏※☯※jukb※〕
𧐿	〔※󰃍※󰃘※󰃰※󰃅※☯※jmpi※〕
𧑀	〔※󰃍※󰄞※󰃋※󰄅※☯※jvjs※〕
𧑁	〔※󰃍※󰂙※󰂙※󰂥※☯※jcce※〕
𧑂	〔※󰃍※󰁮※󰀄※󰁜※☯※jvaq※〕
𧑃	〔※󰃍※󰁽※󰁡※󰄏※☯※jgqt※〕
𧑄	〔※󰃍※󰄋※󰃕※󰃈※☯※jtli※〕
𧑅	〔※󰃍※󰂮※󰁾※󰁐※☯※jfhn※〕
𧑆	〔※󰃍※󰄓※󰃋※󰂮※☯※jujf※〕
𧑇	〔※󰃍※󰄌※󰃷※󰄅※☯※jtqs※〕
𧑈	〔※󰃍※󰄬※󰀯※󰃛※☯※jxjm※〕
𧑉	〔※󰄋※󰂼※󰃍※󰃍※☯※thjj※〕
𧑊	〔※󰃍※󰃋※󰁸※󰃅※☯※jjyi※〕
𧑋	〔※󰃍※󰃏※󰂺※󰃛※☯※jkhm※〕
𧑌	〔※󰃍※󰃐※󰁺※󰄦※☯※jlaw※〕
𧑍	〔※󰃍※󰄖※󰂶※󰀟※☯※jagg※〕
𧑎	〔※󰂔※󰃘※󰂭※󰃍※☯※bmfj※〕
𧑏	〔※󰃍※󰃡※󰄋※󰄼※☯※jnty※〕
𧑐	〔※󰃍※󰁻※󰃦※󰃏※☯※jcnk※〕
𧑑	〔※󰃍※󰄖※󰂜※󰀟※☯※jadg※〕
𧑒	〔※󰃍※󰁸※󰂎※󰄏※☯※jybt※〕
𧑓	〔※󰃍※󰄌※󰄤※󰃃※☯※jtwi※〕
𧑔	〔※󰃍※󰁬※󰃄※󰃮※☯※jvip※〕
𧑕	〔※󰃍※󰂶※󰀚※󰃢※☯※jgfn※〕
𧑖	〔※󰄅※󰀿※󰃍※󰃍※☯※smjj※〕
𧑗	〔※󰃍※󰃰※󰃢※󰀒※☯※jpne※〕
𧑘	〔※󰃁※󰃋※󰂶※󰃍※☯※ijgj※〕
𧑙	〔※󰃍※󰁸※󰃅※󰄼※☯※jyiy※〕
𧑚	〔※󰃍※󰃰※󰀀※󰁦※☯※jpau※〕
𧑛	〔※󰃍※󰁬※󰀼※󰂱※☯※jvmf※〕
𧑜	〔※󰃍※󰂷※󰂷※󰄮※☯※jggx※〕
𧑝	〔※󰃿※󰄰※󰀓※󰃍※☯※rxej※〕
𧑞	〔※󰃍※󰄒※󰂹※󰃍※☯※jugj※〕
𧑟	〔※󰃍※󰂏※󰄐※󰁽※☯※jbtg※〕
𧑠	〔※󰃍※󰂶※󰃏※󰂠※☯※jgkd※〕
𧑡	〔※󰃍※󰂷※󰂷※󰂚※☯※jggc※〕
𧑢	〔※󰃫※󰃍※󰃍※󰂮※☯※ojjf※〕
𧑣	〔※󰂮※󰂮※󰂮※󰃍※☯※fffj※〕
𧑤	〔※󰄋※󰂵※󰃍※󰃍※☯※tfjj※〕
𧑥	〔※󰄋※󰁪※󰄒※󰃍※☯※tuuj※〕
𧑦	〔※󰃍※󰄥※󰁷※󰄤※☯※jwyw※〕
𧑧	〔※󰂠※󰃿※󰄀※󰃍※☯※drrj※〕
𧑨	〔※󰂜※󰂺※󰄠※󰃍※☯※dhvj※〕
𧑩	〔※󰃍※󰃔※󰂡※󰀖※☯※jlde※〕
𧑪	〔※󰄋※󰃪※󰃐※󰃍※☯※tolj※〕
𧑫	〔※󰃍※󰂙※󰂙※󰃤※☯※jccn※〕
𧑬	〔※󰄋※󰃕※󰄥※󰃍※☯※tlwj※〕
𧑭	〔※󰂯※󰃏※󰂯※󰃍※☯※fkfj※〕
𧑮	〔※󰃍※󰂢※󰀿※󰀭※☯※jdmj※〕
𧑯	〔※󰄋※󰂮※󰃺※󰃍※☯※tfqj※〕
𧑰	〔※󰃍※󰂭※󰀁※󰄼※☯※jfay※〕
𧑱	〔※󰃍※󰂯※󰃏※󰃏※☯※jfkk※〕
𧑳	〔※󰃍※󰄞※󰃐※󰃨※☯※jvlo※〕
𧑴	〔※󰃸※󰃏※󰄻※󰃍※☯※qknj※〕
𧑵	〔※󰃍※󰃘※󰃋※󰂙※☯※jmjc※〕
𧑶	〔※󰃍※󰃰※󰃢※󰂮※☯※jpnf※〕
𧑷	〔※󰃍※󰃡※󰃃※󰀟※☯※jnig※〕
𧑸	〔※󰄋※󰃕※󰃈※󰃍※☯※tlij※〕
𧑹	〔※󰃍※󰄕※󰃬※󰃋※☯※juoj※〕
𧑺	〔※󰃍※󰃿※󰀥※󰁾※☯※jrhh※〕
𧑻	〔※󰃍※󰃿※󰀥※󰁾※☯※jrhh※〕
𧑼	〔※󰃆※󰃜※󰃏※󰃍※☯※imkj※〕
𧑽	〔※󰃍※󰃆※󰃱※󰁾※☯※jiph※〕
𧑾	〔※󰃍※󰄫※󰄠※󰂚※☯※jxvc※〕
𧑿	〔※󰄫※󰄫※󰃍※󰁧※☯※xxju※〕
𧒀	〔※󰃍※󰃇※󰄏※󰁶※☯※jity※〕
𧒁	〔※󰄌※󰄤※󰃃※󰃍※☯※twij※〕
𧒂	〔※󰄋※󰃧※󰃍※󰃍※☯※tnjj※〕
𧒃	〔※󰄜※󰃍※󰃍※󰁧※☯※ujju※〕
𧒄	〔※󰃍※󰄚※󰃊※󰀝※☯※jujg※〕
𧒅	〔※󰃍※󰃛※󰄋※󰃭※☯※jmtp※〕
𧒆	〔※󰃍※󰄒※󰄇※󰂳※☯※jusf※〕
𧒇	〔※󰃍※󰃻※󰁥※󰃊※☯※jqtj※〕
𧒈	〔※󰂶※󰃹※󰃉※󰃍※☯※gqjj※〕
𧒉	〔※󰂡※󰂶※󰃏※󰃍※☯※dgkj※〕
𧒊	〔※󰃍※󰁿※󰂝※󰃋※☯※jtdj※〕
𧒋	〔※󰃍※󰀭※󰁿※󰃺※☯※jjtq※〕
𧒌	〔※󰃍※󰃏※󰂾※󰃏※☯※jkhk※〕
𧒍	〔※󰃏※󰂾※󰄐※󰃍※☯※khtj※〕
𧒎	〔※󰄋※󰃿※󰁒※󰃍※☯※trnj※〕
𧒏	〔※󰂡※󰂭※󰀖※󰃍※☯※dfej※〕
𧒐	〔※󰃍※󰃫※󰂝※󰂮※☯※jodf※〕
𧒑	〔※󰃍※󰂪※󰁐※󰁒※☯※jenn※〕
𧒒	〔※󰄐※󰂜※󰂺※󰃍※☯※tdhj※〕
𧒓	〔※󰃍※󰂷※󰂷※󰄋※☯※jggt※〕
𧒔	〔※󰂶※󰃃※󰄼※󰃍※☯※giyj※〕
𧒕	〔※󰂯※󰃏※󰄕※󰃍※☯※fkuj※〕
𧒖	〔※󰃍※󰅐※󰃏※󰃮※☯※jmkp※〕
𧒗	〔※󰃍※󰂮※󰄤※󰃏※☯※jfwk※〕
𧒘	〔※󰃍※󰂶※󰃏※󰂺※☯※jgkh※〕
𧒙	〔※󰄋※󰃧※󰂶※󰃍※☯※tngj※〕
𧒚	〔※󰄖※󰁻※󰃦※󰃍※☯※acnj※〕
𧒛	〔※󰃋※󰄟※󰃍※󰃍※☯※jvjj※〕
𧒜	〔※󰀙※󰃐※󰃍※󰁧※☯※flju※〕
𧒝	〔※󰃡※󰁺※󰃍※󰃍※☯※najj※〕
𧒞	〔※󰃍※󰃒※󰃪※󰀑※☯※jloe※〕
𧒟	〔※󰄼※󰀿※󰂶※󰃍※☯※ymgj※〕
𧒠	〔※󰃍※󰃰※󰂘※󰀒※☯※jpce※〕
𧒡	〔※󰃰※󰂜※󰂺※󰃍※☯※pdhj※〕
𧒢	〔※󰄺※󰃍※󰃍※󰃍※☯※njjj※〕
𧒣	〔※󰄖※󰂏※󰄔※󰃍※☯※abuj※〕
𧒥	〔※󰂔※󰃘※󰄸※󰃍※☯※bmyj※〕
𧒦	〔※󰄦※󰄄※󰄝※󰃍※☯※wruj※〕
𧒧	〔※󰃰※󰃢※󰃍※󰃍※☯※pnjj※〕
𧒨	〔※󰄖※󰃍※󰃍※󰂮※☯※ajjf※〕
𧒩	〔※󰃍※󰃆※󰃱※󰂴※☯※jipf※〕
𧒪	〔※󰃍※󰃒※󰃏※󰃛※☯※jlkm※〕
𧒫	〔※󰃍※󰃰※󰄼※󰂨※☯※jpye※〕
𧒬	〔※󰃍※󰁞※󰄶※󰀔※☯※jqye※〕
𧒭	〔※󰃍※󰃏※󰂺※󰃮※☯※jkhp※〕
𧒮	〔※󰃍※󰃏※󰃏※󰄅※☯※jkks※〕
𧒯	〔※󰃌※󰄤※󰂶※󰃊※☯※jwgj※〕
𧒰	〔※󰃍※󰄎※󰃘※󰄏※☯※jtmt※〕
𧒱	〔※󰃍※󰄶※󰁲※󰁷※☯※jyxy※〕
𧒲	〔※󰃍※󰄓※󰄋※󰄦※☯※jutw※〕
𧒳	〔※󰃍※󰃱※󰅅※󰂝※☯※jpad※〕
𧒴	〔※󰃍※󰄕※󰄋※󰃮※☯※jutp※〕
𧒵	〔※󰃍※󰂱※󰂇※󰂮※☯※jfaf※〕
𧒶	〔※󰃍※󰂱※󰂇※󰀔※☯※jfae※〕
𧒷	〔※󰃍※󰀥※󰃹※󰃪※☯※jhqo※〕
𧒸	〔※󰃍※󰄌※󰃩※󰃢※☯※jton※〕
𧒹	〔※󰃍※󰄋※󰃒※󰁔※☯※jtln※〕
𧒺	〔※󰃍※󰂪※󰃐※󰂫※☯※jele※〕
𧒻	〔※󰃍※󰃸※󰅎※󰄜※☯※jqeu※〕
𧒼	〔※󰃍※󰃗※󰂔※󰂘※☯※jlbc※〕
𧒽	〔※󰃍※󰀙※󰃐※󰀝※☯※jflg※〕
𧒾	〔※󰃆※󰃱※󰃏※󰃍※☯※ipkj※〕
𧒿	〔※󰃍※󰃛※󰂇※󰁼※☯※jmad※〕
𧓀	〔※󰄤※󰁢※󰃨※󰃍※☯※wqoj※〕
𧓁	〔※󰃍※󰂦※󰃱※󰄐※☯※jept※〕
𧓂	〔※󰁸※󰃱※󰃍※󰃍※☯※ypjj※〕
𧓃	〔※󰃋※󰃷※󰄤※󰃍※☯※jqwj※〕
𧓄	〔※󰃍※󰃡※󰃏※󰄔※☯※jnku※〕
𧓅	〔※󰃍※󰀿※󰁺※󰀖※☯※jmae※〕
𧓆	〔※󰃍※󰄥※󰂶※󰂳※☯※jwgf※〕
𧓇	〔※󰃍※󰃡※󰁺※󰂘※☯※jnac※〕
𧓈	〔※󰃍※󰄥※󰁷※󰂁※☯※jwyn※〕
𧓉	〔※󰀴※󰀳※󰃍※󰁧※☯※yjju※〕
𧓊	〔※󰂺※󰂜※󰂺※󰃍※☯※hdhj※〕
𧓋	〔※󰃍※󰂡※󰃊※󰂮※☯※jdjf※〕
𧓌	〔※󰃍※󰃩※󰃩※󰃩※☯※jooo※〕
𧓍	〔※󰃍※󰃰※󰁅※󰃛※☯※jpnm※〕
𧓎	〔※󰃽※󰄋※󰂱※󰃍※☯※rtfj※〕
𧓏	〔※󰃍※󰂐※󰂘※󰃈※☯※jbci※〕
𧓐	〔※󰂢※󰃜※󰀭※󰃍※☯※dmjj※〕
𧓑	〔※󰀙※󰃍※󰃍※󰁧※☯※fjju※〕
𧓒	〔※󰃍※󰃹※󰃰※󰄦※☯※jqpw※〕
𧓓	〔※󰃍※󰄩※󰄩※󰄃※☯※jxxn※〕
𧓔	〔※󰃪※󰁽※󰀑※󰃍※☯※ogej※〕
𧓕	〔※󰄅※󰃋※󰃍※󰃍※☯※sjjj※〕
𧓖	〔※󰂧※󰂚※󰃍※󰃍※☯※ecjj※〕
𧓗	〔※󰃍※󰃼※󰃀※󰄤※☯※jrhw※〕
𧓘	〔※󰃍※󰃒※󰂶※󰂳※☯※jlgf※〕
𧓙	〔※󰃍※󰄋※󰁪※󰄅※☯※jtus※〕
𧓚	〔※󰄶※󰀭※󰂭※󰃍※☯※yjfj※〕
𧓛	〔※󰃍※󰄡※󰂊※󰄦※☯※jvaw※〕
𧓜	〔※󰃍※󰂯※󰃱※󰄅※☯※jfps※〕
𧓝	〔※󰃍※󰄋※󰂼※󰂝※☯※jthd※〕
𧓞	〔※󰃍※󰂶※󰃏※󰀟※☯※jgkg※〕
𧓠	〔※󰃍※󰂶※󰃹※󰃏※☯※jgqk※〕
𧓡	〔※󰃍※󰄖※󰀿※󰂶※☯※jamg※〕
𧓢	〔※󰁚※󰀁※󰃍※󰃍※☯※qajj※〕
𧓣	〔※󰁙※󰂢※󰃒※󰃍※☯※odlj※〕
𧓤	〔※󰂱※󰂇※󰄦※󰃍※☯※fawj※〕
𧓥	〔※󰃍※󰂱※󰂇※󰀞※☯※jfag※〕
𧓦	〔※󰃍※󰂋※󰂺※󰃕※☯※jahl※〕
𧓧	〔※󰃍※󰄋※󰂼※󰀯※☯※jthj※〕
𧓨	〔※󰂋※󰃍※󰃍※󰃍※☯※ajjj※〕
𧓩	〔※󰃍※󰀥※󰃹※󰃛※☯※jhqm※〕
𧓪	〔※󰃍※󰃶※󰄣※󰁶※☯※jqvy※〕
𧓫	〔※󰃰※󰃢※󰄋※󰃍※☯※pntj※〕
𧓬	〔※󰃍※󰃸※󰀿※󰄐※☯※jqmt※〕
𧓭	〔※󰃍※󰄫※󰃽※󰂺※☯※jxrh※〕
𧓮	〔※󰂷※󰃽※󰂠※󰃍※☯※grdj※〕
𧓯	〔※󰃍※󰄥※󰂦※󰃨※☯※jweo※〕
𧓰	〔※󰃍※󰃸※󰃏※󰁜※☯※jqkq※〕
𧓱	〔※󰂋※󰃋※󰄟※󰃍※☯※ajvj※〕
𧓲	〔※󰃍※󰄒※󰂷※󰄣※☯※jugv※〕
𧓳	〔※󰃍※󰄀※󰄀※󰃛※☯※jrrm※〕
𧓴	〔※󰃍※󰀙※󰄋※󰃯※☯※jftp※〕
𧓵	〔※󰄖※󰃐※󰃍※󰃍※☯※aljj※〕
𧓶	〔※󰃍※󰄖※󰄐※󰃮※☯※jatp※〕
𧓷	〔※󰃅※󰄥※󰁷※󰃍※☯※iwyj※〕
𧓸	〔※󰃍※󰄒※󰄇※󰂏※☯※jusb※〕
𧓹	〔※󰁂※󰀁※󰃋※󰃍※☯※najj※〕
𧓺	〔※󰃍※󰃰※󰂪※󰃨※☯※jpeo※〕
𧓻	〔※󰃍※󰃀※󰃐※󰃢※☯※jhln※〕
𧓼	〔※󰃍※󰃫※󰁿※󰃨※☯※joto※〕
𧓽	〔※󰂡※󰄖※󰃋※󰃍※☯※dajj※〕
𧓾	〔※󰃍※󰃸※󰀿※󰂘※☯※jqmc※〕
𧓿	〔※󰄖※󰁻※󰃦※󰃍※☯※acnj※〕
𧔀	〔※󰃍※󰁩※󰄮※󰄼※☯※juxy※〕
𧔁	〔※󰂭※󰃏※󰂺※󰃍※☯※fkhj※〕
𧔂	〔※󰃰※󰂙※󰄋※󰃍※☯※pctj※〕
𧔃	〔※󰃰※󰃍※󰃍※󰃍※☯※pjjj※〕
𧔄	〔※󰁽※󰄭※󰃍※󰃍※☯※gxjj※〕
𧔅	〔※󰃍※󰀻※󰄟※󰂘※☯※jlvc※〕
